Team Name
Boston Bruins
Buffalo Sabres
Calgary Flames
Chicago Blackhawks
Detroit Red Wings
Edmonton Oilers
Hartford Whalers
Los Angeles Kings
Minnesota North Stars
Montreal Canadiens
New Jersey Devils
New York Islanders
New York Rangers
Philadelphia Flyers
Pittsburgh Penguins
Quebec Nordiques
St. Louis Blues
Toronto Maple Leafs
Vancouver Canucks
Washington Capitals
Winnipeg Jets
Boston Bruins
Buffalo Sabres
Calgary Flames
Chicago Blackhawks
